"","Alphaproteobacteria","Chloroplast","Gammaproteobacteria","Flavobacteriia","Verrucomicrobiae","Deltaproteobacteria","Betaproteobacteria","Opitutae","Oligosphaeria","Skagenf62","Cytophagia","Marine_Group_I","Arctic97B-4_marine_group","Lentisphaeria","Nitrospinia","Sphingobacteriia","AEGEAN-245","SPOTSOCT00m83","Proteobacteria_Incertae_Sedis","Acidimicrobiia","Actinobacteria","JG30-KF-CM66","SAR202_clade","Thermoleophilia"
"400140R102b",163678.150433437,245.202558635394,8287.922443087,13840.7566156887,0,4115.2948514246,1646.11794056984,73.0525713270639,0,242.696875853246,261.690544398282,1435.07717895832,0,0,263.800952014398,0,348.217256659005,105.520380805759,0,400.977447061884,0,168.832609289214,0,116.072418886335
"400149R102b",189452.934514654,96.8783638320775,15450.8892643272,12268.6422329655,0,3905.2255472639,2102.81375621902,110.03734988064,0,257.487398720697,154.492439232418,1502.00982587074,275.0933747016,0,572.194219379327,0,329.011676143113,343.316531627596,0,228.877687751731,85.829132906899,57.2194219379327,0,0
"400235R102b",690238.601732022,141.372141372141,79331.8727329344,86975.6381485376,0,2053.00258175211,5555.18345650571,4273.21804346593,3743.71059025384,3200.26873037828,0,362.294573250372,92.8960444231724,0,0,0,422.677002125434,0,0,0,0,0,0,0
"400235R13b",222861.919919766,141.372141372141,181524.662274658,395886.928429268,2512.56418209523,2078.57582336969,2078.57582336969,15303.8000182164,43947.0316941021,0,475.103045341644,0,0,6532.66687344761,0,0,0,0,0,0,4859.00841826682,0,0,0
"400244R102b",660793.574770477,133.704735376045,80086.660812628,89271.4348924452,0,1246.33653731987,6320.70672497934,2739.20118092279,5163.39422603946,2225.60095949977,640.973076335933,0,0,0,0,0,0,0,0,0,356.096153519963,0,0,0
"400244R13b",349264.237127842,133.704735376045,138416.320559387,284121.38495886,763.545641780044,2481.52333578514,5335.27517193806,15843.5720669359,43922.9630433971,1737.0663350496,496.304667157029,0,0,6203.80833946287,0,82.7174445261715,0,0,0,620.380833946286,0,0,0,0
"400355R102b",144099.903847398,45.3001132502831,31533.943291685,49974.1385473465,163.758835773437,2767.52432457109,1510.5548491013,81.8794178867186,1809.53513529648,0,218.208648668105,0,347.987526018554,0,372.551351384569,0,0,0,0,292.718918945019,0,0,0,79.8324324395506
"400365R102b",164973.464934506,11.8203309692671,34790.2808045123,84318.1950340582,0,3086.02719319644,1996.84112500946,139.639239511151,1270.71707955148,0,544.59303409349,0,279.278479022303,0,0,0,0,0,0,544.59303409349,0,0,0,0
"400468R13b",279702.259111351,157.529930686831,51809.1078426327,283984.19499554,460.589499511454,0,1571.76166708284,4375.60024535882,0,449.074762023668,389.198127087179,0,0,0,0,0,0,0,0,0,0,0,0,0
"400468R202b",498157.421432767,157.529930686831,30500.0991399791,89302.5981848346,0,0,2922.56968784468,670.495070085827,0,205.092609673311,481.967632732281,0,0,0,0,0,0,0,0,0,0,0,0,0
"400795R102b",217505.947631622,44.3704936217416,22897.8595594642,26617.7704042652,526.023942815272,7799.94877705771,2051.49337697956,562.188088883822,0,320.545840153057,794.95368357958,0,624.653432093136,0,1730.94753682651,92.6021315997718,213.697226768704,256.436672122445,0,747.940293690466,363.285285506797,0,106.848613384352,0
"400804R102b",197654.377558604,42.3370025402201,36128.4459398153,20964.7632482984,564.361810000741,8070.37388301061,2323.28945116971,282.180905000371,0,203.797320278045,782.581709867695,0,391.917923611625,0,1426.58124194632,129.071636176095,285.316248389264,224.17705230585,0,468.733836639504,285.316248389264,0,0,0
"407863R102b",236620.607411652,82.4014125956445,18642.9734568075,16969.5690031579,0,2490.93711586391,2777.50510264471,525.657253858277,705.398121306593,0,171.940792068482,1102.18456454155,203.480227299979,0,176.349530326648,573.135973561607,0,0,0,0,0,0,0,0
"407872R202b",222343.888177352,121.614151464898,15559.2699458513,18877.4261770615,0,1194.64526246411,3101.48289293568,335.773076728079,528.40078916682,0,87.3009999493006,0,0,0,0,0,160.817631485554,0,0,0,0,0,0,0
"408031R102b",521939.304312379,75.02679528403,70558.4874186018,66416.8115349706,550.663361515026,2433.93205789642,7078.61555246345,2826.73858911047,4533.79500980705,1670.34552992892,0,0,0,0,0,63.6322106639585,0,0,0,334.069105985783,286.344947987814,0,0,0
"408031R13b",146185.643277164,75.02679528403,72779.471268601,303774.306426062,13506.8103111887,0,12875.305285483,71027.1921536649,35420.4456608932,1513.69425901253,242.191081442005,0,0,21797.1973297804,0,0,0,0,0,0,0,0,0,0
"408040R102b",614650.452761187,176.274416388757,116993.644355493,249941.658919874,0,2037.79258095623,10292.8503696926,2403.55022369197,5841.67206540786,2717.05677460831,706.43476139816,0,0,543.411354921661,0,950.969871112907,0,0,0,2173.64541968665,0,0,0,0
"408040R13b",160635.200256013,176.274416388757,102375.246315857,625280.554997686,9996.1500626064,5197.99803255533,29410.7315150833,29488.6426846889,27939.2394249849,0,519.799803255533,0,0,15593.994097666,0,2815.58226763413,0,0,0,0,0,0,0,0
"408231R202b",452482.200598468,59.8151169113649,94689.4739284879,82149.3842368525,1089.56968185848,1416.44058641603,5577.23480901311,6401.22188091858,13987.3507908583,1682.02319636903,0,0,340.490525580776,2567.29856287905,177.055073302003,0,0,0,0,265.582609953005,265.582609953005,0,0,0
"408386R102b",245444.879544722,46.9798657718121,73735.0449578827,22116.5623150194,0,714.130899804624,2087.45955327505,0,0,274.665730694086,0,878.930338221075,0,0,0,0,0,0,0,0,0,0,0,0
"408396R102b",287375.952793682,46.7775467775468,24890.8294298772,30505.7101168544,0,1778.49695201919,2271.33345679559,857.106964828526,385.698134172837,0,107.138370603566,749.96859422496,0,107.138370603566,0,0,257.132089448558,0,0,0,0,0,0,0
"433238R202b",751727.362218356,122.222222222222,61285.1917850038,165474.403072575,91.1514187217843,0,8946.51174754311,683.635640413379,0,414.738955184118,118.496844338319,0,0,0,0,78.9978962255461,0,0,0,0,0,0,0,0
"433246R202b",443468.207920661,116.666666666667,45543.4927751229,101101.800974284,0,569.011514549517,5272.84003482553,262.620699022854,0,189.670504849839,0,0,175.080466015236,0,0,113.802302909903,0,0,0,0,303.472807759742,0,0,0
"433310R202b",514719.940549232,238.888888888889,71100.5457208849,96932.2246235321,0,355.883750035349,4582.00328170512,376.415504845081,0,400.369218789768,35.5883750035349,0,0,0,0,0,0,0,0,0,0,0,0,0
"433318R202b",677894.809877504,266.666666666667,40240.1687806865,201064.587494456,0,0,6780.65385224835,404.047629332241,0,0,238.755417332688,0,0,0,0,0,0,238.755417332688,0,0,0,0,0,0
"433434R202b",524411.177575534,155.555555555556,84564.3906112947,27235.6062221566,1550.87377465229,1354.12113159939,3279.98229654074,2152.70538869647,722.197936853008,4152.6381369048,210.64106491546,481.465291235339,0,331.007387724295,210.641064915461,0,0,0,0,0,0,0,0,0
"433442R202b",500086.730743677,144.444444444444,79058.9635362493,15379.2173965161,1536.8975064595,229.27487391445,2620.284273308,1889.6280817125,425.79619441255,2522.02361305895,19.65213204981,1277.38858323765,176.3652876265,0,0,0,0,0,0,0,0,0,0,0
"433561R202b",192317.228582206,116.666666666667,63793.3859695913,28709.8486875216,311.915780601,2027.4525739065,1774.02100216819,77.9789451502502,0,152.058943042988,258.500203173079,0,155.9578903005,101.372628695325,329.461043259807,202.74525739065,101.372628695325,202.74525739065,0,0,0,0,0,0
"433569R202b",234416.453137067,205.555555555556,153338.577279589,112934.740984731,162.442467030268,1689.40165711478,4751.44216063534,365.495550818103,0,0,527.938017848371,0,243.663700545402,0,0,897.494630342231,0,0,0,0,422.350414278697,0,0,0
"433635R202b",554249.831557627,572.222222222221,151141.345364382,24842.9062934052,5648.47526063973,347.304897782578,1637.29451811787,1641.11105545614,644.994810167645,3423.43399242826,0,446.5348685776,343.488360444308,297.689912385067,0,0,0,0,0,0,0,99.2299707950223,0,0
"433643R202b",655631.715378776,666.666666666667,73028.7415228686,41318.8045159417,4863.0152804937,753.389413921046,3046.31371715901,1108.6666960711,425.828799172765,3504.8985778066,353.765463928144,0,0,0,0,0,0,0,0,0,0,0,0,0
"433938R102b",304240.227074219,88.8888888888889,51350.0009884145,31925.6990771958,341.989371222881,9404.70770862924,4377.46395165289,749.745929219393,0,170.994685611441,1162.7638621578,0,973.354364249739,34.1989371222881,1761.24526179784,74.0976970982909,188.094154172585,769.476085251483,0,119.696279928008,0,0,239.392559856017,0
"433946R202b",259188.122632366,61.1111111111111,56331.3462064519,60185.8558068731,559.599312574466,8232.00041392438,3599.10715771577,117.810381594625,0,0,872.974927616168,0,677.409694169092,0,2144.14894502216,178.679078751847,229.730244109518,574.325610273795,0,0,306.306992146024,0,0,0
