"","x"
"OTU1","Normal"
"OTU3","Bimodal"
"OTU4","Normal"
"OTU6","Bimodal"
"OTU7","Normal"
"OTU8","Bimodal"
"OTU9","Bimodal"
"OTU10","Normal"
"OTU11","Normal"
"OTU12","Normal"
"OTU13","Normal"
"OTU14","Normal"
"OTU15","Bimodal"
"OTU16","Normal"
"OTU17","Bimodal"
"OTU18","Bimodal"
"OTU19","Normal"
"OTU20","Normal"
"OTU21","Normal"
"OTU22","Lognormal"
"OTU23","Normal"
"OTU24","Normal"
"OTU25","Bimodal"
"OTU26","Normal"
"OTU27","Bimodal"
"OTU28","Lognormal"
"OTU29","Bimodal"
"OTU30","Normal"
"OTU31","Bimodal"
"OTU32","Bimodal"
"OTU33","Normal"
"OTU34","Lognormal"
"OTU35","Normal"
"OTU36","Normal"
"OTU37","Normal"
"OTU38","Normal"
"OTU40","Bimodal"
"OTU41","Logistique"
"OTU42","Normal"
"OTU43","Bimodal"
"OTU44","Bimodal"
"OTU46","Normal"
"OTU48","Lognormal"
"OTU49","Normal"
"OTU50","Normal"
"OTU51","Bimodal"
"OTU52","Bimodal"
"OTU53","Bimodal"
"OTU54","Bimodal"
"OTU55","Bimodal"
"OTU56","Bimodal"
"OTU57","Lognormal"
"OTU58","Bimodal"
"OTU59","Bimodal"
"OTU60","Lognormal"
"OTU61","Bimodal"
"OTU62","Bimodal"
"OTU63","Bimodal"
"OTU64","Bimodal"
"OTU65","Bimodal"
"OTU66","Bimodal"
"OTU67","Bimodal"
"OTU68","Lognormal"
"OTU69","Bimodal"
"OTU70","Bimodal"
"OTU71","Bimodal"
"OTU73","Bimodal"
"OTU74","Normal"
"OTU75","Bimodal"
"OTU76","Bimodal"
"OTU77","Bimodal"
"OTU78","Bimodal"
"OTU79","Bimodal"
"OTU81","Bimodal"
"OTU82","Bimodal"
"OTU83","Lognormal"
"OTU85","Bimodal"
"OTU86","Bimodal"
"OTU87","Bimodal"
"OTU89","Bimodal"
"OTU90","Lognormal"
"OTU91","Bimodal"
"OTU92","Bimodal"
"OTU93","Bimodal"
"OTU94","Bimodal"
"OTU95","Bimodal"
"OTU96","Bimodal"
"OTU97","Bimodal"
"OTU98","Lognormal"
"OTU100","Bimodal"
"OTU101","Logistique"
"OTU102","Bimodal"
"OTU103","Bimodal"
"OTU104","Bimodal"
"OTU105","Bimodal"
"OTU106","Logistique"
"OTU107","Bimodal"
"OTU108","Lognormal"
"OTU109","Bimodal"
"OTU110","Bimodal"
"OTU112","Bimodal"
"OTU113","Bimodal"
"OTU114","Bimodal"
"OTU115","Bimodal"
"OTU116","Bimodal"
"OTU117","Bimodal"
"OTU119","Bimodal"
"OTU121","Bimodal"
"OTU122","Lognormal"
"OTU123","Lognormal"
"OTU124","Bimodal"
"OTU125","Lognormal"
"OTU126","Bimodal"
"OTU127","Bimodal"
"OTU129","Bimodal"
"OTU132","Lognormal"
"OTU134","Bimodal"
"OTU135","Logistique"
"OTU136","Logistique"
"OTU138","Lognormal"
"OTU139","Bimodal"
"OTU140","Lognormal"
"OTU141","Bimodal"
"OTU142","Bimodal"
"OTU144","Lognormal"
"OTU145","Bimodal"
"OTU146","Lognormal"
"OTU147","Bimodal"
"OTU148","Bimodal"
"OTU149","Lognormal"
"OTU150","Lognormal"
"OTU151","Logistique"
"OTU152","Logistique"
"OTU153","Lognormal"
"OTU154","Bimodal"
"OTU155","Bimodal"
"OTU157","Lognormal"
"OTU158","Bimodal"
"OTU159","Bimodal"
"OTU161","Bimodal"
"OTU163","Bimodal"
"OTU165","Bimodal"
"OTU167","Bimodal"
"OTU168","Bimodal"
"OTU169","Bimodal"
"OTU172","Bimodal"
"OTU173","Lognormal"
"OTU177","Bimodal"
"OTU178","Lognormal"
"OTU180","Lognormal"
"OTU184","Lognormal"
"OTU186","Logistique"
"OTU187","Lognormal"
"OTU189","Lognormal"
"OTU190","Logistique"
"OTU191","Lognormal"
"OTU193","Lognormal"
"OTU194","Logistique"
"OTU197","Logistique"
"OTU198","Lognormal"
"OTU199","Lognormal"
"OTU201","Lognormal"
"OTU202","Lognormal"
"OTU203","Lognormal"
"OTU204","Bimodal"
"OTU205","Bimodal"
"OTU206","Lognormal"
"OTU207","Lognormal"
"OTU208","Lognormal"
"OTU209","Logistique"
"OTU211","Lognormal"
"OTU212","Logistique"
"OTU213","Lognormal"
"OTU214","Lognormal"
"OTU215","Lognormal"
"OTU216","Bimodal"
"OTU217","Lognormal"
"OTU218","Lognormal"
"OTU219","Lognormal"
"OTU220","Bimodal"
"OTU221","Lognormal"
"OTU223","Lognormal"
"OTU224","Lognormal"
"OTU225","Logistique"
"OTU229","Lognormal"
"OTU230","Logistique"
"OTU231","Lognormal"
"OTU232","Bimodal"
"OTU233","Lognormal"
"OTU234","Logistique"
"OTU235","Lognormal"
"OTU236","Lognormal"
"OTU238","Lognormal"
"OTU241","Lognormal"
"OTU242","Lognormal"
"OTU243","Lognormal"
"OTU245","Logistique"
"OTU246","Logistique"
"OTU247","Lognormal"
"OTU248","Lognormal"
"OTU249","Logistique"
"OTU250","Lognormal"
"OTU253","Bimodal"
"OTU255","Bimodal"
"OTU256","Lognormal"
"OTU257","Logistique"
"OTU258","Lognormal"
"OTU259","Logistique"
"OTU261","Bimodal"
"OTU262","Bimodal"
"OTU263","Lognormal"
"OTU264","Lognormal"
"OTU265","Logistique"
"OTU266","Bimodal"
"OTU267","Lognormal"
"OTU268","Lognormal"
"OTU269","Lognormal"
"OTU271","Lognormal"
"OTU273","Lognormal"
"OTU275","Lognormal"
"OTU276","Lognormal"
"OTU277","Lognormal"
"OTU278","Lognormal"
"OTU279","Lognormal"
"OTU281","Logistique"
"OTU282","Lognormal"
"OTU283","Lognormal"
"OTU284","Lognormal"
"OTU285","Lognormal"
"OTU287","Lognormal"
"OTU288","Logistique"
"OTU290","Lognormal"
"OTU291","Lognormal"
"OTU294","Lognormal"
"OTU295","Logistique"
"OTU296","Logistique"
"OTU297","Lognormal"
"OTU298","Lognormal"
"OTU299","Lognormal"
"OTU300","Logistique"
"OTU301","Logistique"
"OTU302","Bimodal"
"OTU303","Logistique"
"OTU304","Lognormal"
"OTU305","Lognormal"
"OTU306","Lognormal"
"OTU307","Lognormal"
"OTU308","Lognormal"
"OTU309","Lognormal"
"OTU310","Lognormal"
"OTU312","Lognormal"
"OTU313","Lognormal"
"OTU314","Lognormal"
"OTU315","Logistique"
"OTU316","Lognormal"
"OTU318","Lognormal"
"OTU319","Logistique"
"OTU320","Logistique"
"OTU322","Logistique"
"OTU324","Lognormal"
"OTU325","Lognormal"
"OTU327","Lognormal"
"OTU328","Lognormal"
"OTU330","Lognormal"
"OTU331","Lognormal"
"OTU332","Logistique"
"OTU333","Logistique"
"OTU334","Lognormal"
"OTU335","Lognormal"
"OTU337","Lognormal"
"OTU338","Lognormal"
"OTU339","Lognormal"
"OTU340","Lognormal"
"OTU341","Lognormal"
"OTU342","Logistique"
"OTU344","Logistique"
"OTU345","Lognormal"
"OTU347","Logistique"
"OTU350","Lognormal"
"OTU352","Lognormal"
"OTU354","Logistique"
"OTU356","Lognormal"
"OTU358","Logistique"
"OTU359","Logistique"
"OTU360","Lognormal"
"OTU361","Lognormal"
"OTU362","Lognormal"
"OTU364","Bimodal"
"OTU365","Logistique"
"OTU366","Logistique"
"OTU371","Lognormal"
"OTU372","Logistique"
"OTU376","Logistique"
"OTU378","Lognormal"
"OTU379","Logistique"
"OTU380","Lognormal"
"OTU381","Lognormal"
"OTU382","Lognormal"
"OTU383","Logistique"
"OTU385","Lognormal"
"OTU387","Lognormal"
"OTU388","Logistique"
"OTU389","Logistique"
"OTU390","Lognormal"
"OTU392","Logistique"
"OTU393","Lognormal"
"OTU394","Lognormal"
"OTU398","Logistique"
"OTU400","Logistique"
"OTU402","Logistique"
"OTU403","Lognormal"
"OTU407","Lognormal"
"OTU408","Logistique"
"OTU409","Logistique"
"OTU412","Lognormal"
"OTU413","Logistique"
"OTU414","Lognormal"
"OTU415","Logistique"
"OTU416","Lognormal"
"OTU417","Logistique"
"OTU418","Logistique"
"OTU419","Lognormal"
"OTU420","Logistique"
"OTU421","Logistique"
"OTU424","Logistique"
"OTU425","Logistique"
"OTU426","Lognormal"
"OTU427","Logistique"
"OTU428","Logistique"
"OTU429","Logistique"
"OTU430","Logistique"
"OTU431","Logistique"
"OTU434","Logistique"
"OTU435","Logistique"
"OTU437","Logistique"
"OTU438","Logistique"
"OTU439","Logistique"
"OTU440","Logistique"
"OTU441","Logistique"
"OTU442","Logistique"
"OTU445","Logistique"
"OTU446","Lognormal"
"OTU447","Logistique"
"OTU448","Logistique"
"OTU449","Logistique"
"OTU450","Logistique"
"OTU451","Logistique"
"OTU453","Logistique"
"OTU454","Logistique"
"OTU458","Logistique"
"OTU459","Lognormal"
"OTU460","Logistique"
"OTU461","Logistique"
"OTU463","Lognormal"
"OTU466","Lognormal"
"OTU472","Logistique"
"OTU473","Logistique"
"OTU475","Logistique"
"OTU477","Logistique"
"OTU479","Logistique"
"OTU480","Logistique"
"OTU481","Logistique"
"OTU482","Lognormal"
"OTU484","Logistique"
"OTU489","Logistique"
"OTU490","Logistique"
"OTU493","Logistique"
"OTU494","Logistique"
"OTU495","Logistique"
"OTU498","Lognormal"
"OTU502","Logistique"
"OTU503","Lognormal"
"OTU506","Lognormal"
"OTU507","Logistique"
"OTU511","Logistique"
"OTU513","Lognormal"
"OTU516","Logistique"
"OTU517","Logistique"
"OTU518","Logistique"
"OTU519","Logistique"
"OTU523","Logistique"
"OTU524","Logistique"
"OTU525","Logistique"
"OTU526","Logistique"
"OTU527","Logistique"
"OTU528","Logistique"
"OTU529","Lognormal"
"OTU530","Logistique"
"OTU531","Logistique"
"OTU534","Logistique"
"OTU535","Logistique"
"OTU537","Logistique"
"OTU538","Logistique"
"OTU539","Logistique"
"OTU540","Logistique"
"OTU541","Logistique"
"OTU542","Logistique"
"OTU544","Logistique"
"OTU545","Logistique"
"OTU547","Logistique"
"OTU548","Logistique"
"OTU549","Logistique"
"OTU553","Logistique"
"OTU554","Logistique"
"OTU555","Logistique"
"OTU556","Logistique"
"OTU557","Lognormal"
"OTU558","Logistique"
"OTU560","Logistique"
"OTU561","Logistique"
"OTU562","Logistique"
"OTU563","Logistique"
"OTU564","Logistique"
"OTU566","Logistique"
"OTU568","Logistique"
"OTU569","Logistique"
"OTU570","Logistique"
"OTU571","Logistique"
"OTU572","Logistique"
"OTU574","Logistique"
"OTU575","Logistique"
"OTU576","Logistique"
"OTU580","Logistique"
"OTU581","Logistique"
"OTU584","Logistique"
"OTU585","Logistique"
"OTU586","Logistique"
"OTU587","Logistique"
"OTU589","Logistique"
"OTU590","Logistique"
"OTU591","Logistique"
"OTU594","Logistique"
"OTU595","Logistique"
"OTU596","Logistique"
"OTU597","Logistique"
"OTU598","Logistique"
"OTU599","Logistique"
"OTU600","Logistique"
"OTU602","Logistique"
"OTU604","Logistique"
"OTU606","Logistique"
"OTU607","Logistique"
"OTU608","Logistique"
"OTU609","Logistique"
"OTU611","Logistique"
"OTU612","Logistique"
"OTU613","Logistique"
"OTU614","Logistique"
"OTU615","Logistique"
"OTU617","Logistique"
"OTU618","Logistique"
"OTU619","Logistique"
"OTU620","Logistique"
"OTU621","Logistique"
"OTU622","Logistique"
"OTU623","Logistique"
"OTU624","Logistique"
"OTU628","Logistique"
"OTU629","Logistique"
"OTU631","Logistique"
"OTU632","Logistique"
"OTU633","Logistique"
"OTU634","Logistique"
"OTU637","Logistique"
"OTU638","Logistique"
"OTU639","Logistique"
"OTU642","Logistique"
"OTU643","Logistique"
"OTU644","Logistique"
"OTU645","Logistique"
"OTU646","Logistique"
"OTU647","Logistique"
"OTU649","Logistique"
"OTU651","Logistique"
"OTU652","Logistique"
"OTU655","Logistique"
"OTU656","Logistique"
"OTU657","Logistique"
"OTU658","Logistique"
"OTU659","Logistique"
"OTU660","Logistique"
"OTU661","Logistique"
"OTU662","Logistique"
"OTU663","Logistique"
"OTU664","Logistique"
"OTU667","Logistique"
"OTU668","Logistique"
"OTU669","Logistique"
"OTU670","Logistique"
"OTU671","Logistique"
"OTU673","Logistique"
"OTU674","Logistique"
"OTU675","Logistique"
"OTU676","Logistique"
"OTU677","Logistique"
"OTU679","Logistique"
